[2025-05-11 13:13:28] INFO: Koneksi ke database berhasil
[2025-05-11 13:13:28] INFO: Server berjalan di http://localhost:8080
[2025-05-11 13:13:32] INFO: Koneksi ke database berhasil
[2025-05-11 13:13:32] INFO: Server berjalan di http://localhost:8080
[2025-05-11 13:13:35] INFO: Koneksi ke database berhasil
[2025-05-11 13:13:35] INFO: Server berjalan di http://localhost:8080
[2025-05-11 13:39:37] INFO: Method=DELETE, IP=127.0.0.1:40672, User-Agent=GuzzleHttp/7, Endpoint=/tasks, Status=200, ResponseTime=6.297499ms, Message=Task deleted successfully
[2025-05-11 13:39:37] ERROR: Method=GET, IP=127.0.0.1:40674, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=404, ResponseTime=311.1µs, Error=Data task ongoing tidak ditemukan
[2025-05-11 13:39:37] ERROR: Method=GET, IP=127.0.0.1:40680, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=404, ResponseTime=696.899µs, Error=Data task completed tidak ditemukan
[2025-05-11 13:39:39] ERROR: Method=GET, IP=127.0.0.1:40696, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=404, ResponseTime=511.7µs, Error=Data task ongoing tidak ditemukan
[2025-05-11 13:39:39] ERROR: Method=GET, IP=127.0.0.1:40710, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=404, ResponseTime=348.3µs, Error=Data task completed tidak ditemukan
[2025-05-11 13:39:51] INFO: Method=POST, IP=127.0.0.1:46096, User-Agent=GuzzleHttp/7, Endpoint=/tasks, Status=201, ResponseTime=0s, Message=Task berhasil dibuat di database, ID: 16
[2025-05-11 13:39:51] INFO: Method=POST, IP=127.0.0.1:46096, User-Agent=GuzzleHttp/7, Endpoint=/tasks, Status=201, ResponseTime=6.356298ms, Message=Task created successfully, ID: 16
[2025-05-11 13:39:51] INFO: Method=GET, IP=127.0.0.1:46106, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=200, ResponseTime=436.5µs, Message=Fetched ongoing tasks
[2025-05-11 13:39:51] ERROR: Method=GET, IP=127.0.0.1:46114, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=404, ResponseTime=593.5µs, Error=Data task completed tidak ditemukan
[2025-05-11 13:39:53] INFO: Method=GET, IP=127.0.0.1:56124, User-Agent=GuzzleHttp/7, Endpoint=/tasks-id, Status=200, ResponseTime=709.999µs, Message=Fetched task by ID
[2025-05-11 13:39:53] INFO: Method=GET, IP=127.0.0.1:56134, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=200, ResponseTime=362.4µs, Message=Fetched ongoing tasks
[2025-05-11 13:39:53] ERROR: Method=GET, IP=127.0.0.1:56146, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=404, ResponseTime=640.3µs, Error=Data task completed tidak ditemukan
[2025-05-11 13:40:06] INFO: Method=GET, IP=127.0.0.1:51068, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=200, ResponseTime=652.7µs, Message=Fetched ongoing tasks
[2025-05-11 13:40:06] ERROR: Method=GET, IP=127.0.0.1:51082, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=404, ResponseTime=361.7µs, Error=Data task completed tidak ditemukan
[2025-05-11 13:40:10] INFO: Method=GET, IP=127.0.0.1:51084, User-Agent=GuzzleHttp/7, Endpoint=/tasks-id, Status=200, ResponseTime=596.799µs, Message=Fetched task by ID
[2025-05-11 13:40:10] INFO: Method=GET, IP=127.0.0.1:51088, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=200, ResponseTime=537.5µs, Message=Fetched ongoing tasks
[2025-05-11 13:40:10] ERROR: Method=GET, IP=127.0.0.1:51094, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=404, ResponseTime=426.9µs, Error=Data task completed tidak ditemukan
[2025-05-11 13:42:00] INFO: Method=GET, IP=127.0.0.1:51032, User-Agent=GuzzleHttp/7, Endpoint=/tasks-id, Status=200, ResponseTime=1.100001ms, Message=Fetched task by ID
[2025-05-11 13:42:00] INFO: Method=GET, IP=127.0.0.1:51048, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=200, ResponseTime=723.8µs, Message=Fetched ongoing tasks
[2025-05-11 13:42:00] ERROR: Method=GET, IP=127.0.0.1:51062, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=404, ResponseTime=696.5µs, Error=Data task completed tidak ditemukan
[2025-05-11 13:42:46] INFO: Method=GET, IP=127.0.0.1:43864, User-Agent=GuzzleHttp/7, Endpoint=/tasks-id, Status=200, ResponseTime=591.9µs, Message=Fetched task by ID
[2025-05-11 13:42:46] INFO: Method=GET, IP=127.0.0.1:43874, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=200, ResponseTime=416.6µs, Message=Fetched ongoing tasks
[2025-05-11 13:42:46] ERROR: Method=GET, IP=127.0.0.1:43886, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=404, ResponseTime=382µs, Error=Data task completed tidak ditemukan
[2025-05-11 13:43:09] INFO: Method=GET, IP=127.0.0.1:35938, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=200, ResponseTime=522.199µs, Message=Fetched ongoing tasks
[2025-05-11 13:43:09] ERROR: Method=GET, IP=127.0.0.1:35950, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=404, ResponseTime=320.3µs, Error=Data task completed tidak ditemukan
[2025-05-11 13:43:14] INFO: Method=GET, IP=127.0.0.1:59038, User-Agent=GuzzleHttp/7, Endpoint=/tasks-id, Status=200, ResponseTime=619.1µs, Message=Fetched task by ID
[2025-05-11 13:43:14] INFO: Method=GET, IP=127.0.0.1:59052, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=200, ResponseTime=379.8µs, Message=Fetched ongoing tasks
[2025-05-11 13:43:14] ERROR: Method=GET, IP=127.0.0.1:59062, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=404, ResponseTime=597.2µs, Error=Data task completed tidak ditemukan
[2025-05-11 13:45:33] INFO: Method=GET, IP=127.0.0.1:56014, User-Agent=GuzzleHttp/7, Endpoint=/tasks-id, Status=200, ResponseTime=555.6µs, Message=Fetched task by ID
[2025-05-11 13:45:33] INFO: Method=GET, IP=127.0.0.1:56020, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=200, ResponseTime=328.9µs, Message=Fetched ongoing tasks
[2025-05-11 13:45:33] ERROR: Method=GET, IP=127.0.0.1:56022, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=404, ResponseTime=944.2µs, Error=Data task completed tidak ditemukan
[2025-05-11 13:46:05] INFO: Method=GET, IP=127.0.0.1:53582, User-Agent=GuzzleHttp/7, Endpoint=/tasks-id, Status=200, ResponseTime=538.8µs, Message=Fetched task by ID
[2025-05-11 13:46:05] INFO: Method=GET, IP=127.0.0.1:53586, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=200, ResponseTime=439.2µs, Message=Fetched ongoing tasks
[2025-05-11 13:46:05] ERROR: Method=GET, IP=127.0.0.1:53602, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=404, ResponseTime=360.3µs, Error=Data task completed tidak ditemukan
[2025-05-11 13:46:13] INFO: Method=GET, IP=127.0.0.1:35826, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=200, ResponseTime=550.6µs, Message=Fetched ongoing tasks
[2025-05-11 13:46:13] ERROR: Method=GET, IP=127.0.0.1:35838, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=404, ResponseTime=275.5µs, Error=Data task completed tidak ditemukan
[2025-05-11 13:46:14] INFO: Method=GET, IP=127.0.0.1:35848, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=200, ResponseTime=576µs, Message=Fetched ongoing tasks
[2025-05-11 13:46:14] ERROR: Method=GET, IP=127.0.0.1:35856, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=404, ResponseTime=302.7µs, Error=Data task completed tidak ditemukan
[2025-05-11 13:46:16] INFO: Method=GET, IP=127.0.0.1:35858, User-Agent=GuzzleHttp/7, Endpoint=/tasks-id, Status=200, ResponseTime=495.1µs, Message=Fetched task by ID
[2025-05-11 13:46:16] INFO: Method=GET, IP=127.0.0.1:35866, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=200, ResponseTime=525.5µs, Message=Fetched ongoing tasks
[2025-05-11 13:46:16] ERROR: Method=GET, IP=127.0.0.1:35870, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=404, ResponseTime=593.4µs, Error=Data task completed tidak ditemukan
[2025-05-11 13:46:20] INFO: Method=PUT, IP=127.0.0.1:35878, User-Agent=GuzzleHttp/7, Endpoint=/tasks-id, Status=200, ResponseTime=563.4µs, Message=Fetched task by ID
[2025-05-11 13:46:20] INFO: Method=GET, IP=127.0.0.1:35892, User-Agent=GuzzleHttp/7, Endpoint=/tasks-id, Status=200, ResponseTime=657.8µs, Message=Fetched task by ID
[2025-05-11 13:46:20] INFO: Method=GET, IP=127.0.0.1:35894, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=200, ResponseTime=500.7µs, Message=Fetched ongoing tasks
[2025-05-11 13:46:20] ERROR: Method=GET, IP=127.0.0.1:35902, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=404, ResponseTime=562.6µs, Error=Data task completed tidak ditemukan
[2025-05-11 13:46:32] INFO: Method=GET, IP=127.0.0.1:35002, User-Agent=GuzzleHttp/7, Endpoint=/tasks-id, Status=200, ResponseTime=523.9µs, Message=Fetched task by ID
[2025-05-11 13:46:32] INFO: Method=GET, IP=127.0.0.1:35004, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=200, ResponseTime=375.9µs, Message=Fetched ongoing tasks
[2025-05-11 13:46:32] ERROR: Method=GET, IP=127.0.0.1:35016, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=404, ResponseTime=407.9µs, Error=Data task completed tidak ditemukan
[2025-05-11 13:46:33] INFO: Method=PUT, IP=127.0.0.1:35020, User-Agent=GuzzleHttp/7, Endpoint=/tasks-id, Status=200, ResponseTime=455.1µs, Message=Fetched task by ID
[2025-05-11 13:46:33] INFO: Method=GET, IP=127.0.0.1:35030, User-Agent=GuzzleHttp/7, Endpoint=/tasks-id, Status=200, ResponseTime=395.6µs, Message=Fetched task by ID
